City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Hermanus,ZA,-34.4187,19.2345,51.8,88,3,8.21,clear sky
80,Kerema,PG,-7.9631,145.7785,79.34,85,49,4.94,scattered clouds
81,Jadu,LY,31.953,12.0261,79.7,40,5,7.14,clear sky
82,Richards Bay,ZA,-28.783,32.0377,65.55,72,0,13.38,clear sky
83,Saint-Philippe,RE,-21.3585,55.7679,69.39,74,15,5.73,few clouds
84,Mvuma,ZW,-19.2792,30.5283,53.28,87,0,7.7,clear sky
85,Bethel,US,41.3712,-73.414,72.01,73,100,8.05,overcast clouds
86,San Cristobal,VE,7.7669,-72.225,82.58,68,40,5.7,scattered clouds
87,Port Hardy,CA,50.6996,-127.4199,62.78,67,75,9.22,light intensity shower rain
88,College Place,US,46.0493,-118.3883,93.38,26,100,1.01,overcast clouds
89,Baneh,IR,35.9975,45.8853,67.8,34,47,3.06,scattered clouds
90,Milford,US,41.2223,-73.0565,72.21,71,100,12.66,overcast clouds
91,Halifax,CA,44.6453,-63.5724,69.69,69,20,9.22,few clouds
92,Kloulklubed,PW,7.0419,134.2556,75.7,77,99,5.44,overcast clouds
93,Sinnamary,GF,5.3833,-52.95,80.17,81,73,11.16,broken clouds
94,Airai,TL,-8.9266,125.4092,58.28,46,100,2.35,overcast clouds
95,Kapaa,US,22.0752,-159.319,84.09,73,75,12.66,broken clouds
96,Clonakilty,IE,51.6231,-8.8706,58.21,93,76,12.62,broken clouds
97,Atar,MR,20.5169,-13.0499,98.38,17,5,7.52,clear sky
98,Lerwick,GB,60.1545,-1.1494,57.2,94,100,18.84,overcast clouds
99,Srednekolymsk,RU,67.45,153.6833,56.61,43,100,10.0,overcast clouds
100,Nome,US,64.5011,-165.4064,52.16,76,75,10.36,broken clouds
101,Lorengau,PG,-2.0226,147.2712,82.35,74,61,2.93,broken clouds
102,San Ramon,US,37.7799,-121.978,106.21,14,0,10.36,clear sky
103,Hammerfest,NO,70.6634,23.6821,46.85,93,75,13.8,broken clouds
104,Nikolskoye,RU,59.7035,30.7861,46.78,94,52,4.79,broken clouds
105,Avarua,CK,-21.2078,-159.775,78.85,73,40,18.41,scattered clouds
106,Thompson,CA,55.7435,-97.8558,71.76,35,75,9.22,broken clouds
107,Vrangel,RU,42.7297,133.0839,62.83,85,0,3.44,clear sky
108,Bull Savanna,JM,17.8868,-77.5902,80.94,74,53,2.42,broken clouds
109,Kavaratti,IN,10.5669,72.642,79.47,82,100,24.43,overcast clouds
110,Ziyang,CN,29.2497,117.8547,72.81,67,84,2.84,broken clouds
111,Vardo,NO,70.3705,31.1107,42.78,81,100,11.5,overcast clouds
112,Kamaishi,JP,39.2667,141.8833,71.38,83,99,9.6,overcast clouds
113,Kaitangata,NZ,-46.2817,169.8464,45.93,78,98,1.23,overcast clouds
114,Balikpapan,ID,-1.2675,116.8289,76.19,94,20,2.3,few clouds
115,Rudbar,AF,30.15,62.6,83.08,12,0,4.43,clear sky
116,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,87,100,12.66,light intensity drizzle
117,Santa Maria,BR,-29.6842,-53.8069,63.75,72,1,3.65,clear sky
118,Caravelas,BR,-17.7125,-39.2481,69.33,71,100,7.92,overcast clouds
119,Belaya Gora,RU,68.5333,146.4167,53.19,50,100,13.82,overcast clouds
120,Harper,LR,4.375,-7.7169,75.04,88,19,5.82,few clouds
121,Pacific Grove,US,36.6177,-121.9166,92.88,70,0,5.75,clear sky
122,Beloha,MG,-25.1667,45.05,67.6,72,80,12.01,broken clouds
123,Vaini,TO,-21.2,-175.2,80.76,89,20,8.05,few clouds
124,Fatehpur,IN,25.9333,80.8,82.72,67,97,6.02,overcast clouds
125,Saint-Francois,FR,46.4154,3.9054,62.04,94,75,2.3,light rain
126,Otanche,CO,5.6567,-74.1825,77.04,76,45,2.33,scattered clouds
127,Nabire,ID,-3.3667,135.4833,77.0,86,100,2.53,overcast clouds
128,Mabaruma,GY,8.2,-59.7833,76.64,94,26,5.41,scattered clouds
129,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,52.39,100,75,0.0,broken clouds
130,Ilulissat,GL,69.2167,-51.1,39.22,87,75,4.61,broken clouds
131,Yellowknife,CA,62.456,-114.3525,50.52,66,75,12.66,broken clouds
132,Kefamenanu,ID,-9.4467,124.4781,66.2,82,70,3.0,broken clouds
133,Batticaloa,LK,7.7102,81.6924,80.08,74,100,6.51,overcast clouds
134,Lebu,CL,-37.6167,-73.65,47.68,61,43,11.36,scattered clouds
135,Nanakuli,US,21.3906,-158.1547,87.75,51,75,10.36,broken clouds
136,Cidreira,BR,-30.1811,-50.2056,61.39,89,26,13.42,scattered clouds
137,Ketchikan,US,55.3422,-131.6461,61.27,72,100,6.91,overcast clouds
138,Codrington,AU,-38.2667,141.9667,55.42,95,100,18.28,light rain
139,Lima,PE,-12.0432,-77.0282,63.9,77,100,11.5,overcast clouds
140,Cabra,ES,37.4725,-4.4421,70.79,37,73,1.83,broken clouds
141,Matamoros,MX,25.5333,-103.25,82.51,54,75,0.0,broken clouds
